Sr. No,Sample ID,Date,Location,Kit used,CtN,CtE,CtRdRp,PCR Result
20,SSBS/M/2021/20,08-10-2021,"Rahatani, New DP road",Genepath,35.7,35.6,0,Positive
21,SSBS/M/2021/21,08-10-2021,"Kalewadi Road, New India Garage",Genepath,37.8,36.9,0,Positive
22,SSBS/M/2021/22,08-10-2021,"Pimpri, near Kalewadi Bridge",Genepath,0,0,0,Negative
23,SSBS/M/2021/23,08-10-2021,Backside of Sai service Dapodi,Genepath,0,0,0,Negative
24,SSBS/M/2021/24,08-10-2021,"Harris Bridge, Dapodi, Bopodi",Genepath,0,0,0,Negative
25,SSBS/M/2021/25,09-10-2021,Yerwada bund Garden,Genepath,0,0,0,Negative
26,SSBS/M/2021/26,09-10-2021,Vishrantwadi,Genepath,38.7,37.5,36.1,Positive
27,SSBS/M/2021/27,11-10-2021,"Vaidhwadi Nala Catchment, Shivajinagar",Genepath,36,34.9,36.3,Positive
28,SSBS/M/2021/28,11-10-2021,"Chaturshrungi Nala Catchment, Shivajinagar",Genepath,33.8,33,34.6,Positive
29,SSBS/M/2021/29,11-10-2021,"Sanjeevan Hospital, Kothrud",Genepath,35.3,34.6,35.8,Positive
30,SSBS/M/2021/30,11-10-2021,"Karve Road, Kothrud",Genepath,35.7,0,34.5,Positive
31,SSBS/M/2021/31,11-10-2021,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",Genepath,35.5,34.6,36.9,Positive
32,SSBS/M/2021/32,11-10-2021,"Bus Depot (main), Kothrud",Genepath,34.1,32.3,33.5,Positive
33,SSBS/M/2021/33,12-10-2021,"Balewadi Phata, Baner",Genepath,0,0,0,Negative
34,SSBS/M/2021/34,12-10-2021,"Jai Bhawani nagar, Pashan",Genepath,0,0,0,Inconclusive
35,SSBS/M/2021/35,12-10-2021,"Someshwarwadi, Pashan",Genepath,0,0,0,Negative
36,SSBS/M/2021/36,12-10-2021,"Irene Towers, Baner road, Aundh",Genepath,0,0,0,Negative
37,SSBS/M/2021/37,12-10-2021,"Mahalunge Road, Baner",Genepath,0,0,0,Inconclusive
38,SSBS/M/2021/38,13-10-2021,"Aditya Birla Hospital Road, Under bridge",Genepath,0,0,0,Negative
39,SSBS/M/2021/39,13-10-2021,"Shastri nagar, Pimpri",Genepath,37,35.1,35.7,Positive
40,SSBS/M/2021/40,13-10-2021,"Kasarwadi, Pimple gurav road",Genepath,35.2,35,36.4,Positive
41,SSBS/M/2021/41,13-10-2021,"Pimple Gurav, 60-feet road, Pimple Gurav",Genepath,37.1,35.8,0,Positive
42,SSBS/M/2021/42,13-10-2021,"Dapodi gaothan, Old Sangvi bridge",Genepath,0,0,0,Negative
43,SSBS/M/2021/43,13-10-2021,"Harris Bridge, Dapodi-Bopodi",Genepath,0,0,0,Negative
44,SSBS/M/2021/44,13-10-2021,"Sandvik Cormorant, Phugewadi-Dapodi",Genepath,0,0,0,Negative
45,SSBS/M/2021/45,13-10-2021,"Wolf Colony, Pimpri",Genepath,0,0,0,Negative
46,SSBS/M/2021/46,13-10-2021,"Adarsh nagar, Kalewadi road, Kalewadi",Genepath,36,35.6,38,Positive
47,SSBS/M/2021/47,18-10-2021,"Chaturshrungi Nala Catchment, Shivajinagar",Genepath,0,0,0,Negative
48,SSBS/M/2021/48,18-10-2021,"Vaidhwadi Nala Catchment, Shivajinagar",Genepath,0,33.7,35.2,Positive
49,SSBS/M/2021/49,18-10-2021,"Sanjeevan Hospital, Kothrud",Genepath,0,0,0,Negative
50,SSBS/M/2021/50,18-10-2021,"Karve Road, Kothrud",Genepath,0,0,0,Negative
51,SSBS/M/2021/51,18-10-2021,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",Genepath,0,36.3,36.9,Positive
52,SSBS/M/2021/52,18-10-2021,"Bus Depot (main), Kothrud",Genepath,0,0,0,Negative
53,SSBS/M/2021/53,19-10-2021,"Mahalunge Road, Baner",Genepath,0,0,0,Negative
54,SSBS/M/2021/54,19-10-2021,"Balewadi Phata, Baner",Genepath,37.5,33.8,36,Positive
55,SSBS/M/2021/55,19-10-2021,"Irene Towers, Baner road, Aundh",Genepath,0,0,0,Negative
56,SSBS/M/2021/56,19-10-2021,"DP road, Botanical Garden, Aundh",Genepath,0,0,0,Negative
57,SSBS/M/2021/57,19-10-2021,"Someshwarwadi, Pashan",Genepath,0,0,0,Negative
58,SSBS/M/2021/58,19-10-2021,"Jai Bhavani Nagar, Pashan",Genepath,0,0,0,Negative
59,SSBS/M/2021/59,20-10-2021,"Dattawadi, Rajaram Bridge",Genepath,37.2,34.4,35.2,Positive
60,SSBS/M/2021/60,20-10-2021,Vitthalwadi-Hingne,Genepath,0,0,0,Negative
61,SSBS/M/2021/61,20-10-2021,"Kasba peth, Juna Bazaar, Shivajinagar",Genepath,37.7,34.7,0,Positive
62,SSBS/M/2021/62,20-10-2021,"Old bund garden, Yerwada",Genepath,37.8,36.4,36.5,Positive
63,SSBS/M/2021/63,20-10-2021,"RTO Office, Alandi road, Yerwada",Genepath,0,0,0,Negative
64,SSBS/M/2021/64,20-10-2021,"Shantinagar, Vishrantwadi",Genepath,0,0,0,Positive
65,SSBS/M/2021/65,21-10-2021,"Aditya Birla Hospital Road, Under bridge",Genepath,0,0,0,Negative
66,SSBS/M/2021/66,21-10-2021,"Shastri Nagar, Pimpri",Genepath,36.9,33.6,0,Positive
67,SSBS/M/2021/67,21-10-2021,"Kasarwadi, Pimple gurav road",Genepath,0,0,0,Negative
68,SSBS/M/2021/68,21-10-2021,"Pimple Gurav, 60-feet road, Pimple Gurav",Genepath,0,0,0,Negative
69,SSBS/M/2021/69,21-10-2021,"Dapodi gaothan, Old Sangvi bridge",Genepath,0,0,0,Negative
70,SSBS/M/2021/70,22-10-2021,"New DP Road, Rahatani",Genepath,0,0,0,Negative
71,SSBS/M/2021/71,22-10-2021,"Adarsh Nagar, Kalewadi road, Kalewadi",Genepath,0,0,0,Negative
72,SSBS/M/2021/72,22-10-2021,"Sandvik Cormorant, Phugewadi-Dapodi",Genepath,0,0,0,Negative
73,SSBS/M/2021/73,22-10-2021,"Harris Bridge, Dapodi-Bopodi",Genepath,0,0,0,Negative
74,SSBS/M/2021/74,22-10-2021,"Chaturshrungi Nala Catchment, Shivajinagar",Genepath,0,0,0,Negative
75,SSBS/M/2021/75,25-10-2021,"Vaidhwadi Nala Catchment, Shivajinagar",Genepath,0,0,0,Negative
76,SSBS/M/2021/76,25-10-2021,"Chaturshrungi Nala Catchment, Shivajinagar",Genepath,0,0,0,Negative
77,SSBS/M/2021/77,25-10-2021,"Sanjeevan Hospital, Kothrud",Genepath,36.8,34.8,39,Positive
78,SSBS/M/2021/78,25-10-2021,"Karve Road, Kothrud",Genepath,0,0,0,Negative
79,SSBS/M/2021/79,25-10-2021,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",Genepath,36.5,35,33.7,Positive
80,SSBS/M/2021/80,25-10-2021,"Bus Depot (main), Kothrud",Genepath,0,0,0,Positive
81,SSBS/M/2021/81,26-10-2021,"Mahalunge Road, Baner",Genepath,0,0,0,Negative
82,SSBS/M/2021/82,26-10-2021,"Balewadi Phata, Baner",Genepath,35.4,34.3,35.3,Positive
83,SSBS/M/2021/83,26-10-2021,"Pune-Mumbai Highway, Aundh-Sangvi",Genepath,0,0,0,Negative
84,SSBS/M/2021/84,26-10-2021,"DP road, Botanical Garden, Aundh",Genepath,36.9,35.4,37,Positive
85,SSBS/M/2021/85,26-10-2021,"Someshwarwadi, Pashan",Genepath,0,0,0,Negative
86,SSBS/M/2021/86,26-10-2021,"Jai Bhavani Nagar, Pashan",Genepath,0,0,0,Negative
87,SSBS/M/2021/87,27-10-2021,"Dattawadi, Rajaram Bridge",Genepath,0,0,0,Negative
88,SSBS/M/2021/88,27-10-2021,Vitthalwadi-Hingne,Genepath,0,0,0,Negative
89,SSBS/M/2021/89,27-10-2021,"Kasba peth, Juna Bazaar, Shivajinagar",Genepath,0,0,0,Negative
90,SSBS/M/2021/90,27-10-2021,"Old bund garden, Yerwada",Genepath,0,0,0,Negative
91,SSBS/M/2021/91,27-10-2021,"RTO Office, Alandi road, Yerwada",Genepath,0,0,0,Negative
92,SSBS/M/2021/92,27-10-2021,"Shantinagar, Vishrantwadi",Genepath,0,0,0,Negative
93,SSBS/W/2021/93,9/11/2021,"Dattawadi, Rajaram Bridge",Genepath,0,0,0,Negative
94,SSBS/W/2021/94,9/11/2021,Vitthalwadi-Hingne,Genepath,0,0,0,Negative
95,SSBS/W/2021/95,9/11/2021,"Old bund garden, Yerwada",Genepath,0,0,0,Negative
96,SSBS/W/2021/96,9/11/2021,"Kasba peth, Juna Bazaar, Shivajinagar",Genepath,0,0,0,Negative
97,SSBS/W/2021/97,9/11/2021,"RTO Office, Alandi road, Yerwada",Genepath,0,0,0,Negative
98,SSBS/W/2021/98,9/11/2021,"Shantinagar, Vishrantwadi",Genepath,0,0,0,Negative
99,SSBS/W/2021/99,10/11/2021,"Vaidhwadi Nala Catchment, Shivajinagar",Genepath,0,0,0,Negative
100,SSBS/W/2021/100,10/11/2021,"Chaturshrungi Nala Catchment, Shivajinagar",Genepath,0,0,0,Negative
101,SSBS/W/2021/101,10/11/2021,"Sanjeevan Hospital, Kothrud",Genepath,0,0,0,Negative
102,SSBS/W/2021/102,10/11/2021,"Karve Road, Kothrud",Genepath,0,0,0,Negative
103,SSBS/W/2021/103,10/11/2021,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",Genepath,0,0,0,Negative
104,SSBS/W/2021/104,10/11/2021,"Bus Depot (main), Kothrud",Genepath,0,0,0,Negative
105,SSBS/W/2021/105,11/11/2021,"Mahalunge Road, Baner",Genepath,0,0,0,Negative
106,SSBS/W/2021/106,11/11/2021,"Balewadi Phata, Baner",Genepath,0,0,0,Negative
107,SSBS/W/2021/107,11/11/2021,"Pune-Mumbai Highway, Aundh-Sangvi",Genepath,0,0,0,Negative
108,SSBS/W/2021/108,11/11/2021,"DP road, Botanical Garden, Aundh",Genepath,0,0,0,Negative
109,SSBS/W/2021/109,11/11/2021,"Someshwarwadi, Pashan",Genepath,0,0,0,Negative
110,SSBS/W/2021/110,11/11/2021,"Jai Bhavani Nagar, Pashan",Genepath,0,0,0,Negative
111,SSBS/W/2021/111,12/11/2021,"Aditya Birla Hospital Road, Under bridge",Genepath,0,0,0,Negative
112,SSBS/W/2021/112,12/11/2021,"Shastri Nagar, Pimpri",Genepath,0,0,0,Negative
113,SSBS/W/2021/113,12/11/2021,"Kasarwadi, Pimple gurav road",Genepath,0,0,0,Negative
114,SSBS/W/2021/114,12/11/2021,"Pimple Gurav, 60-feet road, Pimple Gurav",Genepath,0,0,0,Negative
115,SSBS/W/2021/115,12/11/2021,"Dapodi gaothan, Old Sangvi bridge",Genepath,0,0,0,Negative
116,SSBS/W/2021/116,15-11-2021,"Vaidhwadi Nala Catchment, Shivajinagar",Genepath,0,0,0,Negative
117,SSBS/W/2021/117,15-11-2021,"Chaturshrungi Nala Catchment, Shivajinagar",Genepath,0,0,0,Negative
118,SSBS/W/2021/118,15-11-2021,"Sanjeevan Hospital, Kothrud",Genepath,0,0,0,Negative
119,SSBS/W/2021/119,15-11-2021,"Karve Road, Kothrud",Genepath,0,0,0,Negative
120,SSBS/W/2021/120,15-11-2021,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",Genepath,0,0,0,Negative
121,SSBS/W/2021/121,15-11-2021,"Bus Depot (main), Kothrud",Genepath,0,0,0,Negative
122,SSBS/W/2021/122,16-10-2021,"Mahalunge Road, Baner",Genepath,0,0,0,Negative
123,SSBS/W/2021/123,16-10-2021,"Balewadi Phata, Baner",Genepath,0,0,0,Negative
124,SSBS/W/2021/124,16-10-2021,"Pune-Mumbai Highway, Aundh-Sangvi",Genepath,0,0,0,Negative
125,SSBS/W/2021/125,16-10-2021,"DP road, Botanical Garden, Aundh",Genepath,0,0,0,Negative
126,SSBS/W/2021/126,16-10-2021,"Someshwarwadi, Pashan",Genepath,0,0,0,Negative
127,SSBS/W/2021/127,16-10-2021,"Jai Bhavani Nagar, Pashan",Genepath,0,0,0,Negative
128,SSBS/W/2021/128,17-11-2021,"Dattawadi, Rajaram Bridge",Genepath,0,0,0,Negative
129,SSBS/W/2021/129,17-11-2021,Vitthalwadi-Hingne,Genepath,0,0,0,Negative
130,SSBS/W/2021/130,17-11-2021,"Kasba peth, Juna Bazaar, Shivajinagar",Genepath,0,0,0,Negative
131,SSBS/W/2021/131,17-11-2021,"Old bund garden, Yerwada",Genepath,0,0,0,Negative
132,SSBS/W/2021/132,17-11-2021,"RTO Office, Alandi road, Yerwada",Genepath,0,0,0,Negative
133,SSBS/W/2021/133,17-11-2021,"Shantinagar, Vishrantwadi",Genepath,0,0,0,Negative
134,SSBS/W/2021/134,18-11-2021,"Aditya Birla Hospital Road, Under bridge",Genepath,0,0,0,Negative
135,SSBS/W/2021/135,18-11-2021,"Shastri Nagar, Pimpri",Genepath,0,0,0,Negative
136,SSBS/W/2021/136,18-11-2021,"Kasarwadi, Pimple gurav road",Genepath,0,0,0,Negative
137,SSBS/W/2021/137,18-11-2021,"Pimple Gurav, 60-feet road, Pimple Gurav",Genepath,35,32.72,35,Positive
138,SSBS/W/2021/138,18-11-2021,"Dapodi gaothan, Old Sangvi bridge",Genepath,0,0,0,Negative
139,SSBS/W/2021/139,19-11-2021,"New DP Road, Rahatani",Genepath,0,0,0,Negative
140,SSBS/W/2021/140,19-11-2021,"Adarsh Nagar, Kalewadi road, Kalewadi",Genepath,0,0,0,Negative
141,SSBS/W/2021/141,19-11-2021,"Wolf Colony, Pimpri",Genepath,0,0,0,Negative
142,SSBS/W/2021/142,19-11-2021,"Sandvik Cormorant, Phugewadi-Dapodi",Genepath,0,0,0,Negative
143,SSBS/W/2021/143,19-11-2021,"Harris Bridge, Dapodi-Bopodi",Genepath,0,0,0,Negative
144,SSBS/W/2021/144,22-11-2021,"Vaidhwadi Nala Catchment, Shivajinagar",Genepath,37.3,35.76,36.7,Positive
145,SSBS/W/2021/145,22-11-2021,"Chaturshrungi Nala Catchment, Shivajinagar",Genepath,0,0,0,Negative
146,SSBS/W/2021/146,22-11-2021,"Sanjeevan Hospital, Kothrud",Genepath,0,0,0,Negative
147,SSBS/W/2021/147,22-11-2021,"Karve Road, Kothrud",Genepath,0,0,0,Negative
148,SSBS/W/2021/148,22-11-2021,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",Genepath,0,0,0,Negative
149,SSBS/W/2021/149,22-11-2021,"Bus Depot (main), Kothrud",Genepath,0,0,0,Negative
150,SSBS/W/2021/150,23-11-2021,"Mahalunge Road, Baner",Genepath,0,0,0,Negative
151,SSBS/W/2021/151,23-11-2021,"Balewadi Phata, Baner",Genepath,0,0,0,Negative
152,SSBS/W/2021/152,23-11-2021,"Pune-Mumbai Highway, Aundh-Sangvi",Genepath,0,0,0,Negative
153,SSBS/W/2021/153,23-11-2021,"DP road, Botanical Garden, Aundh",Genepath,0,0,0,Negative
154,SSBS/W/2021/154,23-11-2021,"Someshwarwadi, Pashan",Genepath,0,0,0,Negative
155,SSBS/W/2021/155,23-11-2021,"Jai Bhavani Nagar, Pashan",Genepath,0,0,0,Negative
156,SSBS/W/2021/156,24-11-2021,"Dattawadi, Rajaram Bridge",Genepath,0,0,0,Negative
157,SSBS/W/2021/157,24-11-2021,Vitthalwadi-Hingne,Genepath,0,0,0,Negative
158,SSBS/W/2021/158,24-11-2021,"Kasba peth, Juna Bazaar, Shivajinagar",Genepath,0,0,0,Negative
159,SSBS/W/2021/159,24-11-2021,"Old bund garden, Yerwada",Genepath,0,0,0,Negative
160,SSBS/W/2021/160,24-11-2021,"RTO Office, Alandi road, Yerwada",Genepath,0,0,0,Negative
161,SSBS/W/2021/161,24-11-2021,"Shantinagar, Vishrantwadi",Genepath,0,0,0,Negative
162,SSBS/W/2021/162,25-11-2021,"Aditya Birla Hospital Road, Under bridge",Genepath,0,0,0,Negative
163,SSBS/W/2021/163,25-11-2021,"Shastri Nagar, Pimpri",Genepath,0,0,0,Negative
164,SSBS/W/2021/164,25-11-2021,"Kasarwadi, Pimple gurav road",Genepath,0,0,0,Negative
165,SSBS/W/2021/165,25-11-2021,"Pimple Gurav, 60-feet road, Pimple Gurav",Genepath,0,0,0,Negative
166,SSBS/W/2021/166,25-11-2021,"Dapodi gaothan, Old Sangvi bridge",Genepath,0,0,0,Negative
167,SSBS/W/2021/167,26-11-2021,"New DP Road, Rahatani",Genepath,0,0,0,Negative
168,SSBS/W/2021/168,26-11-2021,"Adarsh Nagar, Kalewadi road, Kalewadi",Genepath,0,0,0,Negative
169,SSBS/W/2021/169,26-11-2021,"Wolf Colony, Pimpri",Genepath,0,0,0,Negative
170,SSBS/W/2021/170,26-11-2021,"Sandvik Cormorant, Phugewadi-Dapodi",Genepath,0,0,0,Negative
171,SSBS/W/2021/171,26-11-2021,"Harris Bridge, Dapodi-Bopodi",Genepath,0,0,0,Negative
172,SSBS/W/2021/172,29-11-2021,"Vaidhwadi Nala Catchment, Shivajinagar",Genepath,0,0,0,Negative
173,SSBS/W/2021/173,29-11-2021,"Chaturshrungi Nala Catchment, Shivajinagar",Genepath,33.4,31.84,34,Positive
174,SSBS/W/2021/174,29-11-2021,"Sanjeevan Hospital, Kothrud",Genepath,35.43,0,36.7,Positive
175,SSBS/W/2021/175,29-11-2021,"Karve Road, Kothrud",Genepath,0,0,0,Negative
176,SSBS/W/2021/176,29-11-2021,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",Genepath,36.33,33.32,36.5,Positive
177,SSBS/W/2021/177,29-11-2021,"Bus Depot (main), Kothrud",Genepath,0,0,0,Negative
178,SSBS/W/2021/178,30-11-2021,"Mahalunge Road, Baner",Genepath,0,0,0,Negative
179,SSBS/W/2021/179,30-11-2021,"Balewadi Phata, Baner",Genepath,0,0,0,Negative
180,SSBS/W/2021/180,30-11-2021,"Pune-Mumbai Highway, Aundh-Sangvi",Genepath,0,0,0,Negative
181,SSBS/W/2021/181,30-11-2021,"DP road, Botanical Garden, Aundh",Genepath,0,0,0,Negative
182,SSBS/W/2021/182,30-11-2021,"Someshwarwadi, Pashan",Genepath,0,0,0,Negative
183,SSBS/W/2021/183,30-11-2021,"Jai Bhavani Nagar, Pashan",Genepath,0,0,0,Negative
184,SSBS/W/2021/184,1/12/2021,Vitthalwadi-Hingne,Genepath,36.8,33.5,36.46,Positive
185,SSBS/W/2021/185,1/12/2021,"Dattawadi, Rajaram Bridge",Genepath,0,0,0,Negative
186,SSBS/W/2021/186,1/12/2021,"Kasba peth, Juna Bazaar, Shivajinagar",Genepath,0,0,0,Negative
187,SSBS/W/2021/187,1/12/2021,"Old bund garden, Yerwada",Genepath,0,0,0,Negative
188,SSBS/W/2021/188,1/12/2021,"RTO Office, Alandi road, Yerwada",Genepath,36.26,35.24,0,Positive
189,SSBS/W/2021/189,1/12/2021,"Shantinagar, Vishrantwadi",Genepath,35.8,33.37,37.3,Positive
190,SSBS/W/2021/190,3/12/2021,"Aditya Birla Hospital Road, Under bridge",Genepath,0,0,0,Negative
191,SSBS/W/2021/191,3/12/2021,"Shastri Nagar, Pimpri",Genepath,0,0,0,Negative
192,SSBS/W/2021/192,3/12/2021,"Kasarwadi, Pimple gurav road",Genepath,0,0,0,Negative
193,SSBS/W/2021/193,3/12/2021,"Pimple Gurav, 60-feet road, Pimple Gurav",Genepath,0,0,0,Negative
194,SSBS/W/2021/194,3/12/2021,"Dapodi gaothan, Old Sangvi bridge",Genepath,0,0,0,Negative
195,SSBS/W/2021/195,4/12/2021,"Rahatani, New DP road",Genepath,0,0,0,Negative
196,SSBS/W/2021/196,4/12/2021,"Kalewadi, Adarsh Nagar",Genepath,0,0,0,Negative
197,SSBS/W/2021/197,4/12/2021,Wolf Colony Pimpri,Genepath,0,0,0,Negative
198,SSBS/W/2021/198,4/12/2021,Dapodi Sai Service,Genepath,0,0,0,Negative
199,SSBS/W/2021/199,4/12/2021,"Dapodi, Harris Bridge",Genepath,0,0,0,Negative
200,SSBS/W/2021/200,6/12/2021,"Vaidhwadi Nala Catchment, Shivajinagar",Genepath,34.28,32.13,35.9,Positive
201,SSBS/W/2021/201,6/12/2021,"Chaturshrungi Nala Catchment, Shivajinagar",Genepath,36.2,35.6,37.1,Positive
202,SSBS/W/2021/202,6/12/2021,"Sanjeevan Hospital, Kothrud",Genepath,0,0,0,Negative
203,SSBS/W/2021/203,6/12/2021,"Karve Road, Kothrud",Genepath,0,0,0,Negative
204,SSBS/W/2021/204,6/12/2021,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",Genepath,36,34.41,36.3,Positive
205,SSBS/W/2021/205,6/12/2021,"Bus Depot (main), Kothrud",Genepath,0,0,0,Negative
206,SSBS/W/2021/206,7/12/2021,"Mahalunge Road, Baner",Genepath,0,0,0,Negative
207,SSBS/W/2021/207,7/12/2021,"Balewadi Phata, Baner",Genepath,0,0,0,Negative
208,SSBS/W/2021/208,7/12/2021,"Pune-Mumbai Highway, Aundh-Sangvi",Genepath,0,0,0,Negative
209,SSBS/W/2021/209,7/12/2021,"DP road, Botanical Garden, Aundh",Genepath,0,0,0,Negative
210,SSBS/W/2021/210,7/12/2021,"Jai Bhavani Nagar, Pashan",Genepath,0,0,0,Negative
211,SSBS/W/2021/211,7/12/2021,"Someshwarwadi, Pashan",Genepath,0,0,0,Negative
212,SSBS/W/2021/212,8/12/2021,"Shantinagar, Vishrantwadi",Genepath,0,0,0,Negative
213,SSBS/W/2021/213,8/12/2021,"RTO Office, Alandi road, Yerwada",Genepath,36.7,35.27,0,Positive
214,SSBS/W/2021/214,8/12/2021,"Old bund garden, Yerwada",Genepath,0,0,0,Negative
215,SSBS/W/2021/215,8/12/2021,"Kasba peth, Juna Bazaar, Shivajinagar",Genepath,34.46,32.31,35,Positive
216,SSBS/W/2021/216,8/12/2021,"Dattawadi, Rajaram Bridge",Genepath,0,0,0,Negative
217,SSBS/W/2021/217,8/12/2021,Vitthalwadi-Hingne,Genepath,0,0,0,Negative
218,SSBS/W/2021/218,9/12/2021,"Aditya Birla Hospital Road, Under bridge",Genepath,0,0,0,Negative
219,SSBS/W/2021/219,9/12/2021,"Shastri Nagar, Pimpri",Genepath,35.26,37.24,36.72,Positive
220,SSBS/W/2021/220,9/12/2021,"Kasarwadi, Pimple gurav road",Genepath,16.71,38.67,15.71,Positive
221,SSBS/W/2021/221,9/12/2021,"Pimple Gurav, 60-feet road, Pimple Gurav",Genepath,26.16,0,0,Positive
222,SSBS/W/2021/222,9/12/2021,"Dapodi gaothan, Old Sangvi bridge",Genepath,36.6,0,36.8,Positive
223,SSBS/W/2021/223,10/12/2021,"Rahatani, New DP road",Genepath,0,36.9,35.81,Positive
224,SSBS/W/2021/224,10/12/2021,"Kalewadi, Adarsh Nagar",Genepath,35.7,35.19,34.95,Positive
225,SSBS/W/2021/225,10/12/2021,Wolf Colony Pimpri,Genepath,0,0,0,Negative
226,SSBS/W/2021/226,10/12/2021,Dapodi Sai Service,Genepath,0,0,0,Negative
227,SSBS/W/2021/227,10/12/2021,"Dapodi, Harris Bridge",Genepath,0,0,0,Negative
228,SSBS/W/2021/228,13-12-2021,"Vaidhwadi Nala Catchment, Shivajinagar",Genepath,32,35,34,Positive
229,SSBS/W/2021/229,13-12-2021,"Chaturshrungi Nala Catchment, Shivajinagar",Genepath,35,0,35,Positive
230,SSBS/W/2021/230,13-12-2021,"Sanjeevan Hospital, Kothrud",Genepath,34,39,36,Positive
231,SSBS/W/2021/231,13-12-2021,"Karve Road, Kothrud",Genepath,0,0,0,Negative
232,SSBS/W/2021/232,13-12-2021,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",Genepath,33,38,30,Positive
233,SSBS/W/2021/233,13-12-2021,"Bus Depot (main), Kothrud",Genepath,0,0,0,Negative
234,SSBS/W/2021/234,14-12-2021,"Mahalunge Road, Baner",Genepath,0,0,0,Negative
235,SSBS/W/2021/235,14-12-2021,"Balewadi Phata, Baner",Genepath,0,0,0,Negative
236,SSBS/W/2021/236,14-12-2021,"Pune-Mumbai Highway, Aundh-Sangvi",Genepath,0,0,0,Negative
237,SSBS/W/2021/237,14-12-2021,"DP road, Botanical Garden, Aundh",Genepath,32,36,35,Positive
238,SSBS/W/2021/238,14-12-2021,"Someshwarwadi, Pashan",Genepath,0,0,0,Negative
239,SSBS/W/2021/239,14-12-2021,"Jai Bhavani Nagar, Pashan",Genepath,0,0,0,Negative
240,SSBS/W/2021/240,15-12-2021,"Dattawadi, Rajaram Bridge",Genepath,22,0,32,Positive
241,SSBS/W/2021/241,15-12-2021,Vitthalwadi-Hingne,Genepath,38,38,35,Negative
242,SSBS/W/2021/242,15-12-2021,"Kasba Peth, Juna Bazaar, Shivajinagar",Genepath,0,0,0,Negative
243,SSBS/W/2021/243,15-12-2021,"Old bund garden, Yerwada",Genepath,0,0,0,Negative
244,SSBS/W/2021/244,15-12-2021,"RTO Office, Alandi road, Yerwada",Genepath,33,35,33,Positive
245,SSBS/W/2021/245,15-12-2021,"Shantinagar, Vishrantwadi",Genepath,32,36,35,Positive
246,SSBS/W/2021/246,16-12-2021,"Aditya Birla Hospital Road, Under bridge",Genepath,0,0,0,Negative
247,SSBS/W/2021/247,16-12-2021,"Shastri Nagar, Pimpri",Genepath,34,37,35,Positive
248,SSBS/W/2021/248,16-12-2021,"Kasarwadi, Pimple gurav road",Genepath,33,36,34,Positive
249,SSBS/W/2021/249,16-12-2021,"Pimple Gurav, 60-feet road, Pimple Gurav",Genepath,36,38,34,Positive
