Sr. No,Date,Location,CtN,CtE,CtRdRp,PCR Result
63.0,20-10-2021,"RTO Office, Alandi road, Yerwada",0.0,0.0,0.0,Negative
64.0,20-10-2021,"Shantinagar, Vishrantwadi",0.0,0.0,0.0,Positive
65.0,21-10-2021,"Aditya Birla Hospital Road, Under bridge",0.0,0.0,0.0,Negative
66.0,21-10-2021,"Shastri Nagar, Pimpri",36.9,33.6,0.0,Positive
67.0,21-10-2021,"Kasarwadi, Pimple gurav road",0.0,0.0,0.0,Negative
68.0,21-10-2021,"Pimple Gurav, 60-feet road, Pimple Gurav",0.0,0.0,0.0,Negative
69.0,21-10-2021,"Dapodi gaothan, Old Sangvi bridge",0.0,0.0,0.0,Negative
70.0,22-10-2021,"New DP Road, Rahatani",0.0,0.0,0.0,Negative
71.0,22-10-2021,"Adarsh Nagar, Kalewadi road, Kalewadi",0.0,0.0,0.0,Negative
72.0,22-10-2021,"Sandvik Cormorant, Phugewadi-Dapodi",0.0,0.0,0.0,Negative
73.0,22-10-2021,"Harris Bridge, Dapodi-Bopodi",0.0,0.0,0.0,Negative
74.0,22-10-2021,"Chaturshrungi Nala Catchment, Shivajinagar",0.0,0.0,0.0,Negative
75.0,25-10-2021,"Vaidhwadi Nala Catchment, Shivajinagar",0.0,0.0,0.0,Negative
76.0,25-10-2021,"Chaturshrungi Nala Catchment, Shivajinagar",0.0,0.0,0.0,Negative
77.0,25-10-2021,"Sanjeevan Hospital, Kothrud",36.8,34.8,39.0,Positive
78.0,25-10-2021,"Karve Road, Kothrud",0.0,0.0,0.0,Negative
79.0,25-10-2021,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",36.5,35.0,33.7,Positive
80.0,25-10-2021,"Bus Depot (main), Kothrud",0.0,0.0,0.0,Positive
81.0,26-10-2021,"Mahalunge Road, Baner",0.0,0.0,0.0,Negative
82.0,26-10-2021,"Balewadi Phata, Baner",35.4,34.3,35.3,Positive
83.0,26-10-2021,"Pune-Mumbai Highway, Aundh-Sangvi",0.0,0.0,0.0,Negative
84.0,26-10-2021,"DP road, Botanical Garden, Aundh",36.9,35.4,37.0,Positive
85.0,26-10-2021,"Someshwarwadi, Pashan",0.0,0.0,0.0,Negative
86.0,26-10-2021,"Jai Bhavani Nagar, Pashan",0.0,0.0,0.0,Negative
87.0,27-10-2021,"Dattawadi, Rajaram Bridge",0.0,0.0,0.0,Negative
88.0,27-10-2021,Vitthalwadi-Hingne,0.0,0.0,0.0,Negative
89.0,27-10-2021,"Kasba peth, Juna Bazaar, Shivajinagar",0.0,0.0,0.0,Negative
90.0,27-10-2021,"Old bund garden, Yerwada",0.0,0.0,0.0,Negative
91.0,27-10-2021,"RTO Office, Alandi road, Yerwada",0.0,0.0,0.0,Negative
92.0,27-10-2021,"Shantinagar, Vishrantwadi",0.0,0.0,0.0,Negative
93.0,9/11/2021,"Dattawadi, Rajaram Bridge",0.0,0.0,0.0,Negative
94.0,9/11/2021,Vitthalwadi-Hingne,0.0,0.0,0.0,Negative
95.0,9/11/2021,"Old bund garden, Yerwada",0.0,0.0,0.0,Negative
96.0,9/11/2021,"Kasba peth, Juna Bazaar, Shivajinagar",0.0,0.0,0.0,Negative
97.0,9/11/2021,"RTO Office, Alandi road, Yerwada",0.0,0.0,0.0,Negative
98.0,9/11/2021,"Shantinagar, Vishrantwadi",0.0,0.0,0.0,Negative
99.0,10/11/2021,"Vaidhwadi Nala Catchment, Shivajinagar",0.0,0.0,0.0,Negative
100.0,10/11/2021,"Chaturshrungi Nala Catchment, Shivajinagar",0.0,0.0,0.0,Negative
101.0,10/11/2021,"Sanjeevan Hospital, Kothrud",0.0,0.0,0.0,Negative
102.0,10/11/2021,"Karve Road, Kothrud",0.0,0.0,0.0,Negative
103.0,10/11/2021,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",0.0,0.0,0.0,Negative
104.0,10/11/2021,"Bus Depot (main), Kothrud",0.0,0.0,0.0,Negative
105.0,11/11/2021,"Mahalunge Road, Baner",0.0,0.0,0.0,Negative
106.0,11/11/2021,"Balewadi Phata, Baner",0.0,0.0,0.0,Negative
107.0,11/11/2021,"Pune-Mumbai Highway, Aundh-Sangvi",0.0,0.0,0.0,Negative
108.0,11/11/2021,"DP road, Botanical Garden, Aundh",0.0,0.0,0.0,Negative
109.0,11/11/2021,"Someshwarwadi, Pashan",0.0,0.0,0.0,Negative
110.0,11/11/2021,"Jai Bhavani Nagar, Pashan",0.0,0.0,0.0,Negative
111.0,12/11/2021,"Aditya Birla Hospital Road, Under bridge",0.0,0.0,0.0,Negative
112.0,12/11/2021,"Shastri Nagar, Pimpri",0.0,0.0,0.0,Negative
113.0,12/11/2021,"Kasarwadi, Pimple gurav road",0.0,0.0,0.0,Negative
114.0,12/11/2021,"Pimple Gurav, 60-feet road, Pimple Gurav",0.0,0.0,0.0,Negative
115.0,12/11/2021,"Dapodi gaothan, Old Sangvi bridge",0.0,0.0,0.0,Negative
116.0,15-11-2021,"Vaidhwadi Nala Catchment, Shivajinagar",0.0,0.0,0.0,Negative
117.0,15-11-2021,"Chaturshrungi Nala Catchment, Shivajinagar",0.0,0.0,0.0,Negative
118.0,15-11-2021,"Sanjeevan Hospital, Kothrud",0.0,0.0,0.0,Negative
119.0,15-11-2021,"Karve Road, Kothrud",0.0,0.0,0.0,Negative
120.0,15-11-2021,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",0.0,0.0,0.0,Negative
121.0,15-11-2021,"Bus Depot (main), Kothrud",0.0,0.0,0.0,Negative
122.0,16-10-2021,"Mahalunge Road, Baner",0.0,0.0,0.0,Negative
123.0,16-10-2021,"Balewadi Phata, Baner",0.0,0.0,0.0,Negative
124.0,16-10-2021,"Pune-Mumbai Highway, Aundh-Sangvi",0.0,0.0,0.0,Negative
125.0,16-10-2021,"DP road, Botanical Garden, Aundh",0.0,0.0,0.0,Negative
126.0,16-10-2021,"Someshwarwadi, Pashan",0.0,0.0,0.0,Negative
127.0,16-10-2021,"Jai Bhavani Nagar, Pashan",0.0,0.0,0.0,Negative
128.0,17-11-2021,"Dattawadi, Rajaram Bridge",0.0,0.0,0.0,Negative
129.0,17-11-2021,Vitthalwadi-Hingne,0.0,0.0,0.0,Negative
130.0,17-11-2021,"Kasba peth, Juna Bazaar, Shivajinagar",0.0,0.0,0.0,Negative
131.0,17-11-2021,"Old bund garden, Yerwada",0.0,0.0,0.0,Negative
132.0,17-11-2021,"RTO Office, Alandi road, Yerwada",0.0,0.0,0.0,Negative
133.0,17-11-2021,"Shantinagar, Vishrantwadi",0.0,0.0,0.0,Negative
134.0,18-11-2021,"Aditya Birla Hospital Road, Under bridge",0.0,0.0,0.0,Negative
135.0,18-11-2021,"Shastri Nagar, Pimpri",0.0,0.0,0.0,Negative
136.0,18-11-2021,"Kasarwadi, Pimple gurav road",0.0,0.0,0.0,Negative
137.0,18-11-2021,"Pimple Gurav, 60-feet road, Pimple Gurav",35.0,32.72,35.0,Positive
138.0,18-11-2021,"Dapodi gaothan, Old Sangvi bridge",0.0,0.0,0.0,Negative
139.0,19-11-2021,"New DP Road, Rahatani",0.0,0.0,0.0,Negative
140.0,19-11-2021,"Adarsh Nagar, Kalewadi road, Kalewadi",0.0,0.0,0.0,Negative
141.0,19-11-2021,"Wolf Colony, Pimpri",0.0,0.0,0.0,Negative
142.0,19-11-2021,"Sandvik Cormorant, Phugewadi-Dapodi",0.0,0.0,0.0,Negative
143.0,19-11-2021,"Harris Bridge, Dapodi-Bopodi",0.0,0.0,0.0,Negative
144.0,22-11-2021,"Vaidhwadi Nala Catchment, Shivajinagar",37.3,35.76,36.7,Positive
145.0,22-11-2021,"Chaturshrungi Nala Catchment, Shivajinagar",0.0,0.0,0.0,Negative
146.0,22-11-2021,"Sanjeevan Hospital, Kothrud",0.0,0.0,0.0,Negative
147.0,22-11-2021,"Karve Road, Kothrud",0.0,0.0,0.0,Negative
148.0,22-11-2021,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",0.0,0.0,0.0,Negative
149.0,22-11-2021,"Bus Depot (main), Kothrud",0.0,0.0,0.0,Negative
150.0,23-11-2021,"Mahalunge Road, Baner",0.0,0.0,0.0,Negative
151.0,23-11-2021,"Balewadi Phata, Baner",0.0,0.0,0.0,Negative
152.0,23-11-2021,"Pune-Mumbai Highway, Aundh-Sangvi",0.0,0.0,0.0,Negative
153.0,23-11-2021,"DP road, Botanical Garden, Aundh",0.0,0.0,0.0,Negative
154.0,23-11-2021,"Someshwarwadi, Pashan",0.0,0.0,0.0,Negative
155.0,23-11-2021,"Jai Bhavani Nagar, Pashan",0.0,0.0,0.0,Negative
156.0,24-11-2021,"Dattawadi, Rajaram Bridge",0.0,0.0,0.0,Negative
157.0,24-11-2021,Vitthalwadi-Hingne,0.0,0.0,0.0,Negative
158.0,24-11-2021,"Kasba peth, Juna Bazaar, Shivajinagar",0.0,0.0,0.0,Negative
159.0,24-11-2021,"Old bund garden, Yerwada",0.0,0.0,0.0,Negative
160.0,24-11-2021,"RTO Office, Alandi road, Yerwada",0.0,0.0,0.0,Negative
161.0,24-11-2021,"Shantinagar, Vishrantwadi",0.0,0.0,0.0,Negative
162.0,25-11-2021,"Aditya Birla Hospital Road, Under bridge",0.0,0.0,0.0,Negative
163.0,25-11-2021,"Shastri Nagar, Pimpri",0.0,0.0,0.0,Negative
164.0,25-11-2021,"Kasarwadi, Pimple gurav road",0.0,0.0,0.0,Negative
165.0,25-11-2021,"Pimple Gurav, 60-feet road, Pimple Gurav",0.0,0.0,0.0,Negative
166.0,25-11-2021,"Dapodi gaothan, Old Sangvi bridge",0.0,0.0,0.0,Negative
167.0,26-11-2021,"New DP Road, Rahatani",0.0,0.0,0.0,Negative
168.0,26-11-2021,"Adarsh Nagar, Kalewadi road, Kalewadi",0.0,0.0,0.0,Negative
169.0,26-11-2021,"Wolf Colony, Pimpri",0.0,0.0,0.0,Negative
170.0,26-11-2021,"Sandvik Cormorant, Phugewadi-Dapodi",0.0,0.0,0.0,Negative
171.0,26-11-2021,"Harris Bridge, Dapodi-Bopodi",0.0,0.0,0.0,Negative
172.0,29-11-2021,"Vaidhwadi Nala Catchment, Shivajinagar",0.0,0.0,0.0,Negative
173.0,29-11-2021,"Chaturshrungi Nala Catchment, Shivajinagar",33.4,31.84,34.0,Positive
174.0,29-11-2021,"Sanjeevan Hospital, Kothrud",35.43,0.0,36.7,Positive
175.0,29-11-2021,"Karve Road, Kothrud",0.0,0.0,0.0,Negative
176.0,29-11-2021,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",36.33,33.32,36.5,Positive
177.0,29-11-2021,"Bus Depot (main), Kothrud",0.0,0.0,0.0,Negative
178.0,30-11-2021,"Mahalunge Road, Baner",0.0,0.0,0.0,Negative
179.0,30-11-2021,"Balewadi Phata, Baner",0.0,0.0,0.0,Negative
180.0,30-11-2021,"Pune-Mumbai Highway, Aundh-Sangvi",0.0,0.0,0.0,Negative
181.0,30-11-2021,"DP road, Botanical Garden, Aundh",0.0,0.0,0.0,Negative
182.0,30-11-2021,"Someshwarwadi, Pashan",0.0,0.0,0.0,Negative
183.0,30-11-2021,"Jai Bhavani Nagar, Pashan",0.0,0.0,0.0,Negative
184.0,1/12/2021,Vitthalwadi-Hingne,36.8,33.5,36.46,Positive
185.0,1/12/2021,"Dattawadi, Rajaram Bridge",0.0,0.0,0.0,Negative
186.0,1/12/2021,"Kasba peth, Juna Bazaar, Shivajinagar",0.0,0.0,0.0,Negative
187.0,1/12/2021,"Old bund garden, Yerwada",0.0,0.0,0.0,Negative
188.0,1/12/2021,"RTO Office, Alandi road, Yerwada",36.26,35.24,0.0,Positive
189.0,1/12/2021,"Shantinagar, Vishrantwadi",35.8,33.37,37.3,Positive
190.0,3/12/2021,"Aditya Birla Hospital Road, Under bridge",0.0,0.0,0.0,Negative
191.0,3/12/2021,"Shastri Nagar, Pimpri",0.0,0.0,0.0,Negative
192.0,3/12/2021,"Kasarwadi, Pimple gurav road",0.0,0.0,0.0,Negative
193.0,3/12/2021,"Pimple Gurav, 60-feet road, Pimple Gurav",0.0,0.0,0.0,Negative
194.0,3/12/2021,"Dapodi gaothan, Old Sangvi bridge",0.0,0.0,0.0,Negative
195.0,4/12/2021,"Rahatani, New DP road",0.0,0.0,0.0,Negative
196.0,4/12/2021,"Kalewadi, Adarsh Nagar",0.0,0.0,0.0,Negative
197.0,4/12/2021,Wolf Colony Pimpri,0.0,0.0,0.0,Negative
198.0,4/12/2021,Dapodi Sai Service,0.0,0.0,0.0,Negative
199.0,4/12/2021,"Dapodi, Harris Bridge",0.0,0.0,0.0,Negative
200.0,6/12/2021,"Vaidhwadi Nala Catchment, Shivajinagar",34.28,32.13,35.9,Positive
201.0,6/12/2021,"Chaturshrungi Nala Catchment, Shivajinagar",36.2,35.6,37.1,Positive
202.0,6/12/2021,"Sanjeevan Hospital, Kothrud",0.0,0.0,0.0,Negative
203.0,6/12/2021,"Karve Road, Kothrud",0.0,0.0,0.0,Negative
204.0,6/12/2021,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",36.0,34.41,36.3,Positive
205.0,6/12/2021,"Bus Depot (main), Kothrud",0.0,0.0,0.0,Negative
206.0,7/12/2021,"Mahalunge Road, Baner",0.0,0.0,0.0,Negative
207.0,7/12/2021,"Balewadi Phata, Baner",0.0,0.0,0.0,Negative
208.0,7/12/2021,"Pune-Mumbai Highway, Aundh-Sangvi",0.0,0.0,0.0,Negative
209.0,7/12/2021,"DP road, Botanical Garden, Aundh",0.0,0.0,0.0,Negative
210.0,7/12/2021,"Jai Bhavani Nagar, Pashan",0.0,0.0,0.0,Negative
211.0,7/12/2021,"Someshwarwadi, Pashan",0.0,0.0,0.0,Negative
212.0,8/12/2021,"Shantinagar, Vishrantwadi",0.0,0.0,0.0,Negative
213.0,8/12/2021,"RTO Office, Alandi road, Yerwada",36.7,35.27,0.0,Positive
214.0,8/12/2021,"Old bund garden, Yerwada",0.0,0.0,0.0,Negative
215.0,8/12/2021,"Kasba peth, Juna Bazaar, Shivajinagar",34.46,32.31,35.0,Positive
216.0,8/12/2021,"Dattawadi, Rajaram Bridge",0.0,0.0,0.0,Negative
217.0,8/12/2021,Vitthalwadi-Hingne,0.0,0.0,0.0,Negative
218.0,9/12/2021,"Aditya Birla Hospital Road, Under bridge",0.0,0.0,0.0,Negative
219.0,9/12/2021,"Shastri Nagar, Pimpri",35.26,37.24,36.72,Positive
220.0,9/12/2021,"Kasarwadi, Pimple gurav road",16.71,38.67,15.71,Positive
221.0,9/12/2021,"Pimple Gurav, 60-feet road, Pimple Gurav",26.16,0.0,0.0,Positive
222.0,9/12/2021,"Dapodi gaothan, Old Sangvi bridge",36.6,0.0,36.8,Positive
223.0,10/12/2021,"Rahatani, New DP road",0.0,36.9,35.81,Positive
224.0,10/12/2021,"Kalewadi, Adarsh Nagar",35.7,35.19,34.95,Positive
225.0,10/12/2021,Wolf Colony Pimpri,0.0,0.0,0.0,Negative
226.0,10/12/2021,Dapodi Sai Service,0.0,0.0,0.0,Negative
227.0,10/12/2021,"Dapodi, Harris Bridge",0.0,0.0,0.0,Negative
228.0,13-12-2021,"Vaidhwadi Nala Catchment, Shivajinagar",32.0,35.0,34.0,Positive
229.0,13-12-2021,"Chaturshrungi Nala Catchment, Shivajinagar",35.0,0.0,35.0,Positive
230.0,13-12-2021,"Sanjeevan Hospital, Kothrud",34.0,39.0,36.0,Positive
231.0,13-12-2021,"Karve Road, Kothrud",0.0,0.0,0.0,Negative
232.0,13-12-2021,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",33.0,38.0,30.0,Positive
233.0,13-12-2021,"Bus Depot (main), Kothrud",0.0,0.0,0.0,Negative
234.0,14-12-2021,"Mahalunge Road, Baner",0.0,0.0,0.0,Negative
235.0,14-12-2021,"Balewadi Phata, Baner",0.0,0.0,0.0,Negative
236.0,14-12-2021,"Pune-Mumbai Highway, Aundh-Sangvi",0.0,0.0,0.0,Negative
237.0,14-12-2021,"DP road, Botanical Garden, Aundh",32.0,36.0,35.0,Positive
238.0,14-12-2021,"Someshwarwadi, Pashan",0.0,0.0,0.0,Negative
239.0,14-12-2021,"Jai Bhavani Nagar, Pashan",0.0,0.0,0.0,Negative
240.0,15-12-2021,"Dattawadi, Rajaram Bridge",22.0,0.0,32.0,Positive
241.0,15-12-2021,Vitthalwadi-Hingne,38.0,38.0,35.0,Negative
242.0,15-12-2021,"Kasba Peth, Juna Bazaar, Shivajinagar",0.0,0.0,0.0,Negative
243.0,15-12-2021,"Old bund garden, Yerwada",0.0,0.0,0.0,Negative
244.0,15-12-2021,"RTO Office, Alandi road, Yerwada",33.0,35.0,33.0,Positive
245.0,15-12-2021,"Shantinagar, Vishrantwadi",32.0,36.0,35.0,Positive
246.0,16-12-2021,"Aditya Birla Hospital Road, Under bridge",0.0,0.0,0.0,Negative
247.0,16-12-2021,"Shastri Nagar, Pimpri",34.0,37.0,35.0,Positive
248.0,16-12-2021,"Kasarwadi, Pimple gurav road",33.0,36.0,34.0,Positive
249.0,16-12-2021,"Pimple Gurav, 60-feet road, Pimple Gurav",36.0,38.0,34.0,Positive
250.0,16-12-2021,"Dapodi gaothan, Old Sangvi bridge",0.0,0.0,0.0,Negative
251.0,17-12-2021,"Rahatani, New DP road",33.0,37.0,32.0,Positive
252.0,17-12-2021,"Kalewadi, Adarsh Nagar",32.0,35.0,33.0,Positive
253.0,17-12-2021,Wolf Colony Pimpri,0.0,0.0,0.0,Negative
254.0,17-12-2021,Dapodi Sai Service,35.0,36.0,35.0,Positive
255.0,17-12-2021,"Dapodi, Harris Bridge",0.0,0.0,0.0,Negative
256.0,20-12-2021,"Vaidhwadi Nala Catchment, Shivajinagar",34.61,34.82,37.43,Positive
257.0,20-12-2021,"Chaturshrungi Nala Catchment, Shivajinagar",34.46,32.82,36.02,Positive
258.0,20-12-2021,"Sanjeevan Hospital, Kothrud",36.35,34.9,0.0,Positive
259.0,20-12-2021,"Karve Road, Kothrud",0.0,0.0,0.0,Negative
260.0,20-12-2021,"Warje, Mumbai-Bangalore Highway, Open Land below bridge",35.57,33.31,37.03,Positive
261.0,20-12-2021,"Bus Depot (main), Kothrud",35.9,35.46,37.95,Positive
262.0,21-12-2021,"DP road, Botanical Garden, Aundh",35.06,32.32,35.8,Positive
263.0,21-12-2021,"Someshwarwadi, Pashan",0.0,0.0,0.0,Negative
264.0,21-12-2021,"Jai Bhavani Nagar, Pashan",0.0,0.0,0.0,Negative
265.0,21-12-2021,"Pune-Mumbai Highway, Aundh-Sangvi",0.0,0.0,0.0,Negative
266.0,21-12-2021,"Balewadi Phata, Baner",37.88,34.2,36.5,Positive
267.0,21-12-2021,"Mahalunge Road, Baner",33.69,33.58,35.56,Positive
268.0,22-12-2021,"Dattawadi, Rajaram Bridge",0.0,0.0,0.0,Negative
269.0,22-12-2021,Vitthalwadi-Hingne,34.18,34.62,36.92,Positive
270.0,22-12-2021,"Kasba peth, Juna Bazaar, Shivajinagar",33.77,33.18,36.31,Positive
271.0,22-12-2021,"Old bund garden, Yerwada",0.0,0.0,0.0,Negative
272.0,22-12-2021,"RTO Office, Alandi road, Yerwada",34.91,36.05,38.25,Positive
273.0,22-12-2021,"Shantinagar, Vishrantwadi",35.27,34.36,36.68,Positive
274.0,23-12-2021,"Aditya Birla Hospital Road, Under bridge",0.0,0.0,0.0,Negative
275.0,23-12-2021,"Shastri Nagar, Pimpri",34.21,33.85,0.0,Positive
276.0,23-12-2021,"Kasarwadi, Pimple gurav road",35.75,32.23,36.94,Positive
277.0,23-12-2021,"Pimple Gurav, 60-feet road, Pimple Gurav",0.0,0.0,0.0,Negative
278.0,23-12-2021,"Dapodi gaothan, Old Sangvi bridge",0.0,0.0,0.0,Negative
279.0,24-12-2021,"Rahatani, New DP road",0.0,0.0,0.0,Negative
280.0,24-12-2021,"Kalewadi, Adarsh Nagar",32.8,37.2,35.4,Positive
281.0,24-12-2021,"Pimpri, shastri nagar",35.1,0.0,37.0,Positive
282.0,24-12-2021,"Dapodi, Sai service",0.0,0.0,0.0,
283.0,24-12-2021,Dapodi Harris Bridge,35.9,37.3,36.3,Positive
284.0,27-12-2021,"Mahalunge Road, Baner",0.0,0.0,0.0,Negative
285.0,24-12-2021,"Balewadi Phata, Baner",0.0,0.0,0.0,Negative
286.0,24-12-2021,"DP road, Botanical Garden, Aundh",0.0,0.0,0.0,Negative
287.0,24-12-2021,"Someshwarwadi, Pashan an",0.0,0.0,0.0,Negative
288.0,24-12-2021,"Jai Bhavani Nagar,",0.0,0.0,0.0,Negative
289.0,28-12-2021,"Shivajinagar, Vaidhwadi",34.3,37.4,36.3,Positive
290.0,28-12-2021,"Shivajinagar,Chatturshringi",32.82,37.5,35.1,Positive
291.0,28-12-2021,Kothrud Sanjeevan hospital,31.7,36.3,34.8,Positive
292.0,28-12-2021,Kothrud karve road,0.0,0.0,0.0,Negative
293.0,28-12-2021,Warje,31.2,35.1,34.1,Positive
294.0,28-12-2021,"Bus Depot (main), Kothrud",31.7,35.4,34.0,Positive
295.0,29-12-2021,"Dattawadi, Rajaram Bridge",32.7,37.0,34.9,Positive
296.0,29-12-2021,"Vitthalwadi-Hingne Shantinagar,",32.8,36.5,34.8,Positive
297.0,29-12-2021,"Kasba peth, Juna Bazaar, Shivajinagar",30.7,34.8,33.0,Positive
298.0,29-12-2021,"Old bund garden, Yerwada",0.0,0.0,0.0,Negative
299.0,29-12-2021,"RTO Office, Alandi road, Yerwada",30.6,35.1,33.4,Positive
300.0,29-12-2021,"Vishrantwadi Pimple Gurav,",31.6,35.6,34.3,Positive
301.0,30-12-2021,"Aditya Birla Hospital Road,",0.0,0.0,0.0,Negative
302.0,30-12-2021,"Shastri Nagar, Pimpri",32.3,35.1,33.5,Positive
303.0,30-12-2021,"Kasarwadi, Pimple gurav road",33.2,37.1,35.1,Positive
304.0,30-12-2021,"60-feet road, Pimple Gurav",29.7,34.9,32.8,Positive
305.0,30-12-2021,"Under bridge Dapodi gaothan, Old Sangvi bridge",33.6,38.9,36.7,Positive
306.0,31-12-2021,"Rahatani, New DP road",32.2,34.7,33.86,Positive
