Sr. No,Date,Location,CtN,CtE,CtRdRp,PCR_Result
177,29/11/2021,"Bus Depot (main), Kothrud",0,0,0,Negative
178,30/11/2021,"Mahalunge Road, Baner",0,0,0,Negative
179,30/11/2021,"Balewadi Phata, Baner",0,0,0,Negative
180,30/11/2021,"Pune/Mumbai Highway, Aundh/Sangvi",0,0,0,Negative
181,30/11/2021,"DP road, Botanical Garden, Aundh",0,0,0,Negative
182,30/11/2021,"Someshwarwadi, Pashan",0,0,0,Negative
183,30/11/2021,"Jai Bhavani Nagar, Pashan",0,0,0,Negative
184,12/1/2021,Vitthalwadi/Hingne,36.8,33.5,36.46,Positive
185,12/1/2021,"Dattawadi, Rajaram Bridge",0,0,0,Negative
186,12/1/2021,"Kasba peth, Juna Bazaar, Shivajinagar",0,0,0,Negative
187,12/1/2021,"Old bund garden, Yerwada",0,0,0,Negative
188,12/1/2021,"RTO Office, Alandi road, Yerwada",36.26,35.24,0,Positive
189,12/1/2021,"Shantinagar, Vishrantwadi",35.8,33.37,37.3,Positive
190,12/3/2021,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
191,12/3/2021,"Shastri Nagar, Pimpri",0,0,0,Negative
192,12/3/2021,"Kasarwadi, Pimple gurav road",0,0,0,Negative
193,12/3/2021,"Pimple Gurav, 60/feet road, Pimple Gurav",0,0,0,Negative
194,12/3/2021,"Dapodi gaothan, Old Sangvi bridge",0,0,0,Negative
195,12/4/2021,"Rahatani, New DP road",0,0,0,Negative
196,12/4/2021,"Kalewadi, Adarsh Nagar",0,0,0,Negative
197,12/4/2021,Wolf Colony Pimpri,0,0,0,Negative
198,12/4/2021,Dapodi Sai Service,0,0,0,Negative
199,12/4/2021,"Dapodi, Harris Bridge",0,0,0,Negative
200,12/6/2021,"Vaidhwadi Nala Catchment, Shivajinagar",34.28,32.13,35.9,Positive
201,12/6/2021,"Chaturshrungi Nala Catchment, Shivajinagar",36.2,35.6,37.1,Positive
202,12/6/2021,"Sanjeevan Hospital, Kothrud",0,0,0,Negative
203,12/6/2021,"Karve Road, Kothrud",0,0,0,Negative
204,12/6/2021,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",36,34.41,36.3,Positive
205,12/6/2021,"Bus Depot (main), Kothrud",0,0,0,Negative
206,12/7/2021,"Mahalunge Road, Baner",0,0,0,Negative
207,12/7/2021,"Balewadi Phata, Baner",0,0,0,Negative
208,12/7/2021,"Pune/Mumbai Highway, Aundh/Sangvi",0,0,0,Negative
209,12/7/2021,"DP road, Botanical Garden, Aundh",0,0,0,Negative
210,12/7/2021,"Jai Bhavani Nagar, Pashan",0,0,0,Negative
211,12/7/2021,"Someshwarwadi, Pashan",0,0,0,Negative
212,12/8/2021,"Shantinagar, Vishrantwadi",0,0,0,Negative
213,12/8/2021,"RTO Office, Alandi road, Yerwada",36.7,35.27,0,Positive
214,12/8/2021,"Old bund garden, Yerwada",0,0,0,Negative
215,12/8/2021,"Kasba peth, Juna Bazaar, Shivajinagar",34.46,32.31,35,Positive
216,12/8/2021,"Dattawadi, Rajaram Bridge",0,0,0,Negative
217,12/8/2021,Vitthalwadi/Hingne,0,0,0,Negative
218,12/9/2021,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
219,12/9/2021,"Shastri Nagar, Pimpri",35.26,37.24,36.72,Positive
220,12/9/2021,"Kasarwadi, Pimple gurav road",16.71,38.67,15.71,Positive
221,12/9/2021,"Pimple Gurav, 60/feet road, Pimple Gurav",26.16,0,0,Positive
222,12/9/2021,"Dapodi gaothan, Old Sangvi bridge",36.6,0,36.8,Positive
223,12/10/2021,"Rahatani, New DP road",0,36.9,35.81,Positive
224,12/10/2021,"Kalewadi, Adarsh Nagar",35.7,35.19,34.95,Positive
225,12/10/2021,Wolf Colony Pimpri,0,0,0,Negative
226,12/10/2021,Dapodi Sai Service,0,0,0,Negative
227,12/10/2021,"Dapodi, Harris Bridge",0,0,0,Negative
228,13/12/2021,"Vaidhwadi Nala Catchment, Shivajinagar",32,35,34,Positive
229,13/12/2021,"Chaturshrungi Nala Catchment, Shivajinagar",35,0,35,Positive
230,13/12/2021,"Sanjeevan Hospital, Kothrud",34,39,36,Positive
231,13/12/2021,"Karve Road, Kothrud",0,0,0,Negative
232,13/12/2021,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",33,38,30,Positive
233,13/12/2021,"Bus Depot (main), Kothrud",0,0,0,Negative
234,14/12/2021,"Mahalunge Road, Baner",0,0,0,Negative
235,14/12/2021,"Balewadi Phata, Baner",0,0,0,Negative
236,14/12/2021,"Pune/Mumbai Highway, Aundh/Sangvi",0,0,0,Negative
237,14/12/2021,"DP road, Botanical Garden, Aundh",32,36,35,Positive
238,14/12/2021,"Someshwarwadi, Pashan",0,0,0,Negative
239,14/12/2021,"Jai Bhavani Nagar, Pashan",0,0,0,Negative
240,15/12/2021,"Dattawadi, Rajaram Bridge",22,0,32,Positive
241,15/12/2021,Vitthalwadi/Hingne,38,38,35,Negative
242,15/12/2021,"Kasba Peth, Juna Bazaar, Shivajinagar",0,0,0,Negative
243,15/12/2021,"Old bund garden, Yerwada",0,0,0,Negative
244,15/12/2021,"RTO Office, Alandi road, Yerwada",33,35,33,Positive
245,15/12/2021,"Shantinagar, Vishrantwadi",32,36,35,Positive
246,16/12/2021,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
247,16/12/2021,"Shastri Nagar, Pimpri",34,37,35,Positive
248,16/12/2021,"Kasarwadi, Pimple gurav road",33,36,34,Positive
249,16/12/2021,"Pimple Gurav, 60/feet road, Pimple Gurav",36,38,34,Positive
250,16/12/2021,"Dapodi gaothan, Old Sangvi bridge",0,0,0,Negative
251,17/12/2021,"Rahatani, New DP road",33,37,32,Positive
252,17/12/2021,"Kalewadi, Adarsh Nagar",32,35,33,Positive
253,17/12/2021,Wolf Colony Pimpri,0,0,0,Negative
254,17/12/2021,Dapodi Sai Service,35,36,35,Positive
255,17/12/2021,"Dapodi, Harris Bridge",0,0,0,Negative
256,20/12/2021,"Vaidhwadi Nala Catchment, Shivajinagar",34.61,34.82,37.43,Positive
257,20/12/2021,"Chaturshrungi Nala Catchment, Shivajinagar",34.46,32.82,36.02,Positive
258,20/12/2021,"Sanjeevan Hospital, Kothrud",36.35,34.9,0,Positive
259,20/12/2021,"Karve Road, Kothrud",0,0,0,Negative
260,20/12/2021,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",35.57,33.31,37.03,Positive
261,20/12/2021,"Bus Depot (main), Kothrud",35.9,35.46,37.95,Positive
262,21/12/2021,"DP road, Botanical Garden, Aundh",35.06,32.32,35.8,Positive
263,21/12/2021,"Someshwarwadi, Pashan",0,0,0,Negative
264,21/12/2021,"Jai Bhavani Nagar, Pashan",0,0,0,Negative
265,21/12/2021,"Pune/Mumbai Highway, Aundh/Sangvi",0,0,0,Negative
266,21/12/2021,"Balewadi Phata, Baner",37.88,34.2,36.5,Positive
267,21/12/2021,"Mahalunge Road, Baner",33.69,33.58,35.56,Positive
268,22/12/2021,"Dattawadi, Rajaram Bridge",0,0,0,Negative
269,22/12/2021,Vitthalwadi/Hingne,34.18,34.62,36.92,Positive
270,22/12/2021,"Kasba peth, Juna Bazaar, Shivajinagar",33.77,33.18,36.31,Positive
271,22/12/2021,"Old bund garden, Yerwada",0,0,0,Negative
272,22/12/2021,"RTO Office, Alandi road, Yerwada",34.91,36.05,38.25,Positive
273,22/12/2021,"Shantinagar, Vishrantwadi",35.27,34.36,36.68,Positive
274,23/12/2021,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
275,23/12/2021,"Shastri Nagar, Pimpri",34.21,33.85,0,Positive
276,23/12/2021,"Kasarwadi, Pimple gurav road",35.75,32.23,36.94,Positive
277,23/12/2021,"Pimple Gurav, 60/feet road, Pimple Gurav",0,0,0,Negative
278,23/12/2021,"Dapodi gaothan, Old Sangvi bridge",0,0,0,Negative
279,24/12/2021,"Rahatani, New DP road",0,0,0,Negative
280,24/12/2021,"Kalewadi, Adarsh Nagar",32.8,37.2,35.4,Positive
281,24/12/2021,"Pimpri, shastri nagar",35.1,0,37,Positive
282,24/12/2021,"Dapodi, Sai service",0,0,0,Negative
283,24/12/2021,Dapodi Harris Bridge,35.9,37.3,36.3,Positive
284,27/12/2021,"Mahalunge Road, Baner",0,0,0,Negative
285,24/12/2021,"Balewadi Phata, Baner",0,0,0,Negative
286,24/12/2021,"DP road, Botanical Garden, Aundh",0,0,0,Negative
287,24/12/2021,"Someshwarwadi, Pashan an",0,0,0,Negative
288,24/12/2021,"Jai Bhavani Nagar,",0,0,0,Negative
289,28/12/2021,"Shivajinagar, Vaidhwadi",34.3,37.4,36.3,Positive
290,28/12/2021,"Shivajinagar,Chatturshringi",32.82,37.5,35.1,Positive
291,28/12/2021,Kothrud Sanjeevan hospital,31.7,36.3,34.8,Positive
292,28/12/2021,Kothrud karve road,0,0,0,Negative
293,28/12/2021,Warje,31.2,35.1,34.1,Positive
294,28/12/2021,"Bus Depot (main), Kothrud",31.7,35.4,34,Positive
295,29/12/2021,"Dattawadi, Rajaram Bridge",32.7,37,34.9,Positive
296,29/12/2021,"Vitthalwadi/Hingne Shantinagar,",32.8,36.5,34.8,Positive
297,29/12/2021,"Kasba peth, Juna Bazaar, Shivajinagar",30.7,34.8,33,Positive
298,29/12/2021,"Old bund garden, Yerwada",0,0,0,Negative
299,29/12/2021,"RTO Office, Alandi road, Yerwada",30.6,35.1,33.4,Positive
300,29/12/2021,"Vishrantwadi Pimple Gurav,",31.6,35.6,34.3,Positive
301,30/12/2021,"Aditya Birla Hospital Road,",0,0,0,Negative
302,30/12/2021,"Shastri Nagar, Pimpri",32.3,35.1,33.5,Positive
303,30/12/2021,"Kasarwadi, Pimple gurav road",33.2,37.1,35.1,Positive
304,30/12/2021,"60/feet road, Pimple Gurav",29.7,34.9,32.8,Positive
305,30/12/2021,"Under bridge Dapodi gaothan, Old Sangvi bridge",33.6,38.9,36.7,Positive
306,31/12/2021,"Rahatani, New DP road",32.2,34.7,33.86,Positive
307,31/12/2021,"Kalewadi, Adarsh Nagar",0,0,0,Negative
308,31/12/2021,Wolf Colony Pimpri,0,0,0,Negative
319,31/12/2021,"Dapodi, Sai service",0,0,0,Negative
310,31/12/2021,Dapodi Harris Bridge,33.1,36.3,34.8,Positive
311,1/3/2022,"Shivajinagar, Vaidhwadi Nala catchment",33.2,35.7,34.4,Positive
312,1/3/2022,"Shivajinagar, Chaturshrungi Nala Catchment	",35.5,36.8,35.2,Positive
313,1/3/2022,Kothrud Sanjeevan hospital,0,0,0,Negative
314,1/3/2022,Kothrud Karve road,35.9,36.8,35.8,Positive
315,1/3/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",0,0,0,Negative
316,1/3/2022,"Bus Depot (main), Kothrud",0,0,0,Negative
317,1/4/2022,"Dattawadi, Rajaram Bridge",33.9,36.4,34.4,Positive
318,1/4/2022,Vitthalwadi/Hingne ,34.3,36.8,34.9,Positive
319,1/4/2022,"Kasba peth, Juna Bazaar, Shivajinagar",0,0,0,Negative
320,1/4/2022,"Old bund garden, Yerwada",0,0,0,Negative
321,1/4/2022,"RTO Office, Alandi road, Yerwada",0,0,0,Negative
322,1/4/2022,"Shantinagar, Vishrantwadi",36.8,36.8,36.25,Positive
323,1/5/2022,"Someshwarwadi, Pashan",0,0,0,Negative
324,1/5/2022,"DP road, Botanical Garden, Aundh",0,0,0,Negative
325,1/5/2022,"Balewadi Phata, Baner",31.7,35,33.3,Positive
326,1/5/2022,"Mahalunge Road, Baner",31.3,34.8,33.9,Positive
327,1/5/2022,"Jai Bhavani Nagar, Pashan",0,0,0,Negative
328,1/5/2022,Aundh ,0,0,0,Negative
329,1/6/2022,"Aditya Birla Hospital Road, Under bridge",0,0,0,Negative
330,1/6/2022,"Shastri Nagar, Pimpri",0,0,0,Negative
331,1/6/2022,"60/feet road, Pimple Gurav",0,0,0,Negative
332,1/6/2022,"Kasarwadi, Pimple gurav road",0,0,0,Negative
333,1/6/2022,"Under bridge Dapodi gaothan, Old Sangvi bridge",0,0,0,Negative
334,1/7/2022,Dapodi Harris Bridge,30.12,33.01,31.53,Positive
335,1/7/2022,"Dapodi, Sai service",32.9,35,34.27,Positive
336,1/7/2022,Wolf Colony Pimpri,29.6,32.44,31.31,Positive
337,1/7/2022,"Dapodi, Sai service",30.98,34.47,32.86,Positive
338,1/7/2022,"Rahatani, New DP road",30.55,32.91,32.07,Positive
339,1/10/2022,"Shivajinagar, Vaidhwadi Nala catchment",28.77,30.89,30.05,Positive
340,1/10/2022,"Shivajinagar, Chaturshrungi Nala Catchment",28.93,30.98,30.28,Positive
341,1/10/2022,Kothrud Sanjeevan hospital,30.03,32.16,31.52,Positive
342,1/10/2022,Kothrud Karve road,0,0,0,Negative
343,1/10/2022,"Warje, Mumbai/Bangalore Highway, Open Land below bridge",29.37,31.41,30.54,Positive
344,1/10/2022,"Bus Depot (main), Kothrud",30.53,34.33,33.67,Positive
345,1/11/2022,Jai bhavani nagar Pashan,0,0,0,Negative
346,1/11/2022,"DP road, Botanical Garden, Aundh",28.31,31.38,31.06,Positive
347,1/11/2022,Aundh,0,0,0,Negative
348,1/11/2022,"Someshwarwadi, Pashan",30,33.49,33.46,Positive
349,1/11/2022,"Balewadi Phata, Baner",28.07,31.11,30.81,Positive
350,1/11/2022,"Mahalunge Road, Baner",0,0,0,Negative
351,1/12/2022,"Shantinagar, Vishrantwadi",28.39,32.75,31.9,Positive
352,1/12/2022,"RTO Office, Alandi road, Yerwada",29.6,33.28,32.69,Positive
353,1/12/2022,"Old bund garden, Yerwada",31.12,34.02,34.83,Positive
354,1/12/2022,"Kasba Peth, Juna Bazaar, Shivajinagar",28.84,32.64,32.22,Positive
355,1/12/2022,"Dattawadi, Rajaram Bridge",28.83,32.55,32.21,Positive
356,1/12/2022,Vitthalwadi/Hingne Shantinagar,0,34.56,34.74,Positive
357,13/01/2022,"Aditya Birla Hospital Road, Under bridge",29.53,32.2,32.32,Positive
358,13/01/2022,"Shastri Nagar, Pimpri",29.33,32.28,32.62,Positive
